month;shore;pool;composition;removed;grid_squares;bare rock;red_crusts;corallina;sargassum;u_lactuca;u_intestinalis;u_linza;l_digitata;l_saccharina;f_serratus;bifurcaria;diatoms;mastocarpus;chondrus;gastroclonium;dumontia;scytosiphon;colpomenia;gelidium;ceramium;polysiphonia;red_sp1;red_sp2;palmaria;osmundea_pinnatifida;calliblepharis;red_sp4;lomentaria;cystoclonium;himanthalia;petalonia_fascia;furcellaria;dresceliacea;osmundea_hybrida;dictyota_dicotoma;boergesniella;sphacelaria;odonthalia;codium;brogniartella;totcover;cover_nocrusts
March;Challaborough;w12;All;0;49;NA;4;12;5;8;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;33
March;Challaborough;w12;All;0;28;NA;4;11;5;1;0;0;0.000001;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;18
March;Challaborough;w20;S;3;49;NA;16;16;14;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;35
March;Challaborough;w20;S;3;42;NA;11;6;9;2;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;17
March;Challaborough;w3;FLB;1;49;NA;7;2;2;1;0;0;0;0;6;0;0;0;0;0;0;0.000001;0;0;0.000001;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;11
March;Challaborough;w9;B;3;49;NA;13;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;3
March;Challaborough;w9;B;3;30;NA;8;2;0.000001;8;0;0;0;0;1;1;0;0;0;0;0;0;0.000001;0;1;0.000001;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;13
March;Challaborough;w16;All;0;49;NA;11;17;12;6;0;0;0;0;5;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;45
March;Challaborough;p12;SFL;1;49;NA;33;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;16
March;Challaborough;p12;SFL;1;21;NA;9;9;0;5;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0.000001;0.000001;0;0;0;0.000001;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;16
March;Challaborough;p29;FLB;1;21;NA;15;3;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;9
March;Challaborough;p29;FLB;1;14;NA;8;4;2;0;0;0;0;0;1;0;0;0;0;0;0;0.000001;0;0;0.000001;0;0;0.000001;0;0.000001;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;15;7
March;Challaborough;w1333;All;0;49;NA;6;1;45;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;57
March;Challaborough;w1333;All;0;21;NA;7;4;5;2;0;0;0;0;2;0;0;0;0;0;0;0.000001;0;0;0;0;0.000001;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;13
March;Challaborough;w10;S;3;20;NA;14;9;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;15
March;Challaborough;w10;S;3;21;NA;17;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;7
March;Challaborough;p15;SFL;1;49;NA;20;14;10;6;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;35
March;Challaborough;p15;SFL;1;49;NA;15;6;10;3;0;0;0;0;4;0;0;0;0;0.000001;0;0;0;0;0.000001;0;0;0;0;0.000001;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;38;23
March;Challaborough;w7b;All;0;49;NA;10;8;9;5;0;0;3;0;7;1;0;0;0;0.000001;0;0;0;0;0.000001;0;0;0;0.000001;0.000001;3;0.000001;0;1;0;0;0;0;0;0;0;0;0;0;0;47;37
March;Challaborough;w17;SLB;1;49;NA;22;10;4;10;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;24
March;Challaborough;w19;SFB;1;49;NA;9;8;6;12;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;30
March;Challaborough;w19;SFB;1;49;NA;11;10;6;4;0;0;0;0;1;0;0;0;0;0.000001;0;0;0.000001;0;0;0.000001;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;32;21
March;Challaborough;p18;S;3;49;NA;14;21;13;10;0;0;0;0;0;0;0;0;0;0;0;0.000001;0.000001;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;45
March;Challaborough;p16;SFB;1;49;NA;19;9;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;25
March;Challaborough;p16;SFB;1;28;NA;6;9;4;3;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;16
March;Challaborough;p22;All;0;49;NA;23;17;1;2;0;0;0;0;1;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;44;21
March;Challaborough;p24;SFB;1;49;NA;17;12;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;15
March;Challaborough;p24;SFB;1;35;NA;9;8;1;4;0;0;0;0;0.000001;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;22;13
